release_year,type,Total_no
2021,"TV Show",315
2021,Movie,277
2020,Movie,517
2020,"TV Show",436
2019,Movie,633
2019,"TV Show",397
2018,"TV Show",379
2018,Movie,767
2017,"TV Show",265
2017,Movie,765
2016,Movie,658
2016,"TV Show",243
2015,"TV Show",159
2015,Movie,396
2014,Movie,264
2014,"TV Show",88
2013,Movie,225
2013,"TV Show",61
2012,Movie,173
2012,"TV Show",63
2011,Movie,145
2011,"TV Show",40
2010,Movie,153
2010,"TV Show",39
2009,Movie,118
2009,"TV Show",34
2008,"TV Show",22
2008,Movie,113
2007,Movie,74
2007,"TV Show",14
2006,Movie,82
2006,"TV Show",14
2005,Movie,67
2005,"TV Show",13
2004,Movie,55
2004,"TV Show",9
2003,Movie,51
2003,"TV Show",8
2002,Movie,44
2002,"TV Show",7
2001,Movie,40
2001,"TV Show",5
